Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,2,RATIO,0,4.46041425069e-05,0.000282926247505,NAIVE,N/A,N/A,N/A,1,0.00349812912491,0.00199354538433,215.0,0.0,0.375749111176,0.0
MINIMAX,T,2,VORONOI,1,0.00101266763149,0.000415569932649,MINIMAX,T,1,RATIO,0,0.0678329286696,0.0291127938514,158.0,0.0,5.43791794777,0.0
MINIMAX,T,2,VORONOI,1,0.0206464005889,0.00480630827696,MINIMAX,T,1,VORONOI,0,0.0554648467473,0.0297997935325,280.0,0.0,10.6351130009,0.0
MINIMAX,T,2,VORONOI,0,0.0323387042336,0.00954672463483,MINIMAX,T,1,CHAMBER,1,0.0544607765907,0.030973214413,229.0,0.0,9.8732008934,0.0
MINIMAX,T,2,VORONOI,0,0.00320257796898,0.00186162922397,MINIMAX,T,2,RATIO,1,0.0615427428429,0.0267968607582,221.0,0.0,7.06381988525,0.0
MINIMAX,T,2,VORONOI,1,0.0620551796283,0.0287622697236,MINIMAX,T,2,VORONOI,0,0.0589151144028,0.0305104780149,120.0,0.0,7.19624710083,0.0
MINIMAX,T,2,VORONOI,1,0.101846630456,0.0438165195047,MINIMAX,T,2,CHAMBER,0,0.0575130838689,0.0296498037721,246.0,0.0,19.4995958805,0.0
MINIMAX,T,2,VORONOI,0,0.00305508939843,0.00156977828477,MINIMAX,T,3,RATIO,1,0.0711065928141,0.0195837981349,75.0,0.0,2.67598390579,0.0
MINIMAX,T,2,VORONOI,1,0.170953347569,0.0895218525852,MINIMAX,T,3,VORONOI,0,0.0575055798819,0.031084080721,86.0,0.0,9.65284609795,0.0
MINIMAX,T,2,VORONOI,1,0.303399467468,0.172271793263,MINIMAX,T,3,CHAMBER,0,0.0648400875238,0.0320490897917,52.0,0.0,9.27086901665,0.0
MINIMAX,T,2,VORONOI,1,0.0101035833359,0.00746100141629,MINIMAX,T,4,RATIO,0,0.0653513985119,0.021958938259,174.0,0.0,6.5546028614,0.0
MINIMAX,T,2,VORONOI,0,0.39054925514,0.306526277826,MINIMAX,T,4,VORONOI,1,0.0683702961091,0.0283683116326,65.0,0.0,15.0076630116,0.0
MINIMAX,T,2,VORONOI,0,0.531822709101,0.358722297418,MINIMAX,T,4,CHAMBER,1,0.0616380648179,0.0274533691886,223.0,0.0,66.3445258141,0.0
MINIMAX,T,2,VORONOI,1,0.00100477536519,0.00041658869642,MINIMAX,F,1,RATIO,0,0.0678474993645,0.0292414283545,158.0,0.0,5.43843984604,0.0
MINIMAX,T,2,VORONOI,1,0.0201956733825,0.00613404359721,MINIMAX,F,1,VORONOI,0,0.0539678484201,0.0360595538683,128.0,0.0,4.72636294365,0.0
MINIMAX,T,2,VORONOI,0,0.0356552398811,0.00872811495964,MINIMAX,F,1,CHAMBER,1,0.0546219558047,0.0334796169683,117.0,0.0,5.21720910072,0.0
MINIMAX,T,2,VORONOI,1,0.00516613197327,0.00267408028925,MINIMAX,F,2,RATIO,0,0.0732738839255,0.0245013291157,252.0,0.0,9.8784661293,0.0
MINIMAX,T,2,VORONOI,0,0.0804996673877,0.030613802306,MINIMAX,F,2,VORONOI,1,0.0592769583066,0.0356388051697,51.0,0.0,3.51567292213,0.0
MINIMAX,T,2,VORONOI,0,0.10311225708,0.0458481730892,MINIMAX,F,2,CHAMBER,1,0.0548887860855,0.0272883444364,301.0,0.0,23.748623848,0.0
MINIMAX,T,2,VORONOI,0,0.0106155112781,0.00584622228133,MINIMAX,F,3,RATIO,1,0.0644394964785,0.019002217349,225.0,0.0,8.35250306129,0.0
MINIMAX,T,2,VORONOI,0,0.215551137924,0.10139312508,MINIMAX,F,3,VORONOI,1,0.0636000352747,0.0311588043384,71.0,0.0,9.92230391502,0.0
MINIMAX,T,2,VORONOI,1,0.322900517042,0.15413272937,MINIMAX,F,3,CHAMBER,0,0.0613440201833,0.0267040723966,260.0,0.0,49.6291110516,0.0
MINIMAX,T,2,VORONOI,0,0.02959245217,0.0214688467558,MINIMAX,F,4,RATIO,1,0.0530092792633,0.025375321249,315.0,0.0,12.945319891,0.0
